,,,,,
Search:,,,,,
Institute ID,Name,City,State,Score,Rank
IR-A-U-0573,Indian Institute of Technology KharagpurMore Details |  |,Kharagpur,West Bengal,80.46,1
IR-A-U-0560,Indian Institute of Technology RoorkeeMore Details |  |,Roorkee,Uttarakhand,79.75,2
IR-A-U-0263,National Institute of Technology CalicutMore Details |  |,Kozhikode,Kerala,69.24,3
IR-A-U-0127,Centre for Environmental Planning and Technology UniversityMore Details |  |,Ahmedabad,Gujarat,66.68,4
IR-A-U-0116,School of Planning and ArchitectureMore Details |  |,New Delhi,Delhi,65.63,5
IR-A-U-0584,Indian Institute of Engineering Science and TechnologyMore Details |  |,Shibpur,West Bengal,65.05,6
IR-A-U-0626,School of Planning and ArchitectureMore Details |  |,Bhopal,Madhya Pradesh,63.87,7
IR-A-U-0467,National Institute of Technology TiruchirappalliMore Details |  |,Tiruchirappalli,Tamil Nadu,60.29,8
IR-A-U-0627,School of Planning and ArchitectureMore Details |  |,Vijayawada,Andhra Pradesh,59.63,9
IR-A-U-0108,Jamia Millia IslamiaMore Details |  |,New Delhi,Delhi,56.29,10
IR-A-C-43708,College of Engineering TrivandrumMore Details |  |,Thiruvananthapuram,Kerala,55.75,11
IR-A-C-46330,Manipal Academy of Higher EducationMore Details |  |,Udupi,Karnataka,53.11,12
IR-A-U-0202,Birla Institute of TechnologyMore Details |  |,Ranchi,Jharkhand,52.45,13
IR-A-C-57952,BMS College of ArhitectureMore Details |  |,Bengaluru,Karnataka,52.18,14
IR-A-U-0284,Maulana Azad National Institute of TechnologyMore Details |  |,Bhopal,Madhya Pradesh,51.7,15
IR-A-U-0496,Aligarh Muslim UniversityMore Details |  |,Aligarh,Uttar Pradesh,51.52,16
IR-A-C-26794,Thiagarajar College of EngineeringMore Details |  |,Madurai,Tamil Nadu,50.3,17
IR-A-U-0439,Anna UniversityMore Details |  |,Chennai,Tamil Nadu,48.73,18
IR-A-U-0189,National Institute of Technology HamirpurMore Details |  |,Hamirpur,Himachal Pradesh,48.59,19
IR-A-U-0454,Hindustan Institute of Technology and Science (HITS)More Details |  |,Chennai,Tamil Nadu,48.5,20